Offer,Description,Eligible Credit Cards,Eligible Debit Cards,Unnamed: 4
Axis Bank,"15% Off upto Rs.500. Min. bill of Rs.2500. Valid once per month. Applicable on: All other credit and debit cards excluding Olympus, Reserve, Magnus Burgundy, Burgundy Private Credit Card, Burgundy Private Debit Card and Burgundy Debit Card.",Airtel Axis Bank Credit Card,Axis Bank Titanium Prime Plus Debit Card,
Axis Bank,"15% Off upto Rs.500. Min. bill of Rs.2500. Valid once per month. Applicable on: All other credit and debit cards excluding Olympus, Reserve, Magnus Burgundy, Burgundy Private Credit Card, Burgundy Private Debit Card and Burgundy Debit Card.",Airtel Axis Bank Credit Card,Axis Bank Visa Classic Debit Card,
Axis Bank,"15% Off upto Rs.500. Min. bill of Rs.2500. Valid once per month. Applicable on: All other credit and debit cards excluding Olympus, Reserve, Magnus Burgundy, Burgundy Private Credit Card, Burgundy Private Debit Card and Burgundy Debit Card.",Airtel Axis Bank Credit Card,Axis Bank Visa Platinum Debit Card,
Axis Bank,"15% Off upto Rs.500. Min. bill of Rs.2500. Valid once per month. Applicable on: All other credit and debit cards excluding Olympus, Reserve, Magnus Burgundy, Burgundy Private Credit Card, Burgundy Private Debit Card and Burgundy Debit Card.",Airtel Axis Bank Credit Card,Axis Bank RuPay Platinum NRO Debit Card,
Axis Bank,"15% Off upto Rs.500. Min. bill of Rs.2500. Valid once per month. Applicable on: All other credit and debit cards excluding Olympus, Reserve, Magnus Burgundy, Burgundy Private Credit Card, Burgundy Private Debit Card and Burgundy Debit Card.",Airtel Axis Bank Credit Card,Axis Bank Smart Privilege Debit Card,
Axis Bank,"15% Off upto Rs.500. Min. bill of Rs.2500. Valid once per month. Applicable on: All other credit and debit cards excluding Olympus, Reserve, Magnus Burgundy, Burgundy Private Credit Card, Burgundy Private Debit Card and Burgundy Debit Card.",Airtel Axis Bank RuPay Credit Card,Axis Bank Kisan Debit Card,
Axis Bank,"15% Off upto Rs.500. Min. bill of Rs.2500. Valid once per month. Applicable on: All other credit and debit cards excluding Olympus, Reserve, Magnus Burgundy, Burgundy Private Credit Card, Burgundy Private Debit Card and Burgundy Debit Card.",Airtel Axis Bank RuPay Credit Card,Axis Bank PMJDY Rupay Debit Card,
Axis Bank,"15% Off upto Rs.500. Min. bill of Rs.2500. Valid once per month. Applicable on: All other credit and debit cards excluding Olympus, Reserve, Magnus Burgundy, Burgundy Private Credit Card, Burgundy Private Debit Card and Burgundy Debit Card.",Airtel Axis Bank RuPay Credit Card,Axis Bank Flipkart Debit Card,
Axis Bank,"15% Off upto Rs.500. Min. bill of Rs.2500. Valid once per month. Applicable on: All other credit and debit cards excluding Olympus, Reserve, Magnus Burgundy, Burgundy Private Credit Card, Burgundy Private Debit Card and Burgundy Debit Card.",Airtel Axis Bank RuPay Credit Card,Axis Bank Republic Debit Card,
Axis Bank,"15% Off upto Rs.500. Min. bill of Rs.2500. Valid once per month. Applicable on: All other credit and debit cards excluding Olympus, Reserve, Magnus Burgundy, Burgundy Private Credit Card, Burgundy Private Debit Card and Burgundy Debit Card.",Airtel Axis Bank RuPay Credit Card,Axis Bank Delight Debit Card,
